EmployeeNumber;StandardHours;Typeofcontract;Age;Gender;MaritalStatus;Education;EducationField;BusinessTravel;DistanceFromHome;Department;JobLevel;JobRole;Salaryineuros;PensionPlan;OverTime;PerformanceRating;PercentageSalaryincrease;TalentStatus;Sicknessdays;NumCompaniesWorked;TotalWorkingYears;TrainingTimes;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;YearsInCurrentRoleCat;RecruitmentCosts;EnvironmentSatisfaction;ManagerSatisfaction;JobInvolvement;JobSatisfaction;JobSatisfactionCont;Flightrisklikelihoodin2021;Leftthecompanyin2022;OverTimeVal;PensionPlanVal;TalentStatusVal;JobRoleVal;BusinessTravelVal;EducationFieldVal;MaritalStatusVal;GenderVal;TypeOfContractVal;DepartmentValt;EducationVal
EMPLID0031334;40;Permanent;42;Male;Married;High school diploma;Finance & Economics;Non-Travel;2;Management;4;Team Manager;214332;Yes;Yes;3;13;Contributor A;6;0;21;3;2;20;1;2;10; ;32150;3;4;3;4;90;23;0;1;1;1;8;2;1;1;2;1;1;4
EMPLID0031336;40;Permanent;55;Female;Married;Associate's degree;Business Administration;Travel_Rarely;2;Management;5;Team Manager;230244;Yes;No;2;14;Contributor B;5;4;23;5;3;19;6;9;11; ;39141;4;4;1;3;67;32;0;0;1;3;8;1;5;1;1;1;1;3
EMPLID0031338;40;Permanent;56;Male;Single;MsC;Finance & Economics;Travel_Rarely;8;Management;5;Team Manager;236604;Yes;No;3;14;Contributor A;7;6;36;4;3;7;3;7;7; ;44955;4;1;3;2;47;34;0;0;1;1;8;1;1;3;2;1;1;1
EMPLID0031340;40;Permanent;40;Male;Divorced;Associate's degree;Finance & Economics;Non-Travel;16;Local Branch;1;Financial Advisor;42528;Yes;No;3;16;Contributor B;6;9;15;0;3;13;12;0;0; ;1701;3;2;3;1;17;2;0;0;1;3;5;2;1;2;2;1;3;3
EMPLID0031344;40;Permanent;34;Male;Divorced;BsC;IT & Operations;Travel_Rarely;9;Head office;3;IT developer;102000;Yes;No;3;11;Contributor B;3;0;16;0;2;15;14;1;6; ;11220;4;4;3;4;75;10;0;0;1;3;4;1;4;2;2;1;2;2
EMPLID0031346;40;Permanent;40;Male;Single;BsC;Finance & Economics;Travel_Rarely;2;Local Branch;2;Financial Advisor;55932;Yes;No;3;13;Contributor A;8;1;18;4;3;18;17;8;8; ;2237;3;3;3;3;58;18;0;0;1;1;5;1;1;3;2;1;3;2
EMPLID0031349;40;Permanent;41;Female;Divorced;BsC;Marketing & Sales;Travel_Frequently;1;Local Branch;2;Branch Representative;49236;Yes;No;3;17;Contributor B;5;0;10;2;3;9;1;1;7; ;2462;3;4;3;4;95;4;0;0;1;3;1;3;3;2;1;1;3;2
EMPLID0031350;40;Permanent;35;Male;Single;MsC;Finance & Economics;Travel_Frequently;4;Local Branch;2;Financial Advisor;50988;Yes;Yes;2;11;Contributor A;8;1;16;3;3;16;15;1;1; ;3059;3;2;3;3;55;21;0;1;1;1;5;3;1;3;2;1;3;1
EMPLID0031352;40;Permanent;51;Male;Divorced;BsC;Finance & Economics;Travel_Rarely;5;Management;4;Team Manager;168312;Yes;Yes;2;11;Contributor B;7;1;33;2;3;33;5;0;10; ;25247;3;2;3;2;37;6;0;1;1;3;8;1;1;2;2;1;1;2
EMPLID0031355;40;Permanent;38;Female;Divorced;Associate's degree;Finance & Economics;Travel_Rarely;2;Local Branch;2;Branch Representative;82716;Yes;No;1;15;Contributor B;6;3;11;3;3;7;5;1;7; ;4963;2;4;3;4;88;28;0;0;1;3;1;1;1;2;1;1;3;3
EMPLID0031356;40;Permanent;34;Female;Single;Associate's degree;Business Administration;Travel_Rarely;15;Local Branch;2;Branch Representative;73500;Yes;No;3;12;Contributor A;4;1;10;6;4;10;6;9;6; ;4410;3;4;3;3;63;29;0;0;1;1;1;1;5;3;1;1;3;3
EMPLID0031358;40;Permanent;25;Male;Married;High school diploma;Business Administration;Travel_Rarely;19;Local Branch;1;Call center agent;44028;Yes;No;2;11;Key Talent;8;3;7;6;2;3;1;1;2; ;881;4;3;3;4;99;16;0;0;1;2;2;1;5;1;2;1;3;4
EMPLID0031360;40;Permanent;58;Female;Married;MsC;Business Administration;Travel_Rarely;7;Head office;3;Marketeer;120096;Yes;Yes;2;14;Contributor A;2;7;31;0;2;10;2;5;9; ;13211;3;4;2;1;1;51;1;1;1;1;3;1;5;1;1;1;2;1
EMPLID0031361;40;Permanent;40;Male;Married;MsC;Finance & Economics;Travel_Rarely;1;Local Branch;1;Call center agent;28644;Yes;No;4;22;Contributor B;5;3;7;3;3;4;4;0;3; ;859;2;3;3;3;72;20;0;0;1;3;2;1;1;1;2;1;3;1
EMPLID0031362;40;Permanent;36;Female;Married;BsC;Marketing & Sales;Travel_Frequently;7;Local Branch;2;Branch Representative;55668;Yes;No;3;16;Contributor B;7;2;17;2;2;15;4;6;13; ;5010;1;4;4;3;60;4;0;0;1;3;1;3;3;1;1;1;3;2
EMPLID0031363;40;Permanent;48;Male;Single;BsC;Finance & Economics;Travel_Rarely;4;Head office;3;Marketeer;94776;Yes;No;3;11;Contributor A;8;1;11;2;3;10;5;0;8; ;8530;4;3;3;2;26;24;0;0;1;1;3;1;1;3;2;1;2;2
EMPLID0031364;40;Permanent;27;Female;Married;BsC;Business Administration;Travel_Rarely;11;Head office;1;Office Support function;30408;Yes;No;1;14;Contributor B;7;8;15;4;3;11;10;0;0; ;608;3;2;4;3;66;40;0;0;1;3;6;1;5;1;1;1;2;2
EMPLID0031367;40;Permanent;51;Female;Single;Associate's degree;IT & Operations;Travel_Rarely;11;Head office;4;Marketeer;157704;Yes;No;1;16;Contributor A;5;3;29;1;2;5;5;0;3; ;23656;4;2;2;2;27;43;0;0;1;1;3;1;4;3;1;1;2;3
EMPLID0031368;40;Permanent;18;Female;Single;BsC;Finance & Economics;Non-Travel;1;Local Branch;1;Call center agent;19332;Yes;No;3;15;Contributor A;6;1;4;5;4;4;3;0;0; ;0;4;3;3;4;98;41;0;0;1;1;2;2;1;3;1;1;3;2
EMPLID0031369;40;Temporary;35;Female;Married;BsC;Business Administration;Travel_Rarely;1;Local Branch;2;Call center agent;64356;Yes;No;3;12;Contributor B;4;0;13;0;3;12;11;0;0; ;2574;4;2;2;4;97;11;0;0;1;3;2;1;5;1;1;2;3;2
EMPLID0031371;40;Temporary;27;Male;Single;High school diploma;Finance & Economics;Travel_Frequently;2;Local Branch;2;Branch Representative;60852;Yes;No;4;20;Contributor A;5;3;11;3;3;9;8;0;0; ;3651;4;2;1;3;51;25;0;0;1;1;1;3;1;3;2;2;3;4
EMPLID0031372;40;Temporary;55;Male;Single;MsC;Marketing & Sales;Travel_Rarely;13;Local Branch;4;Branch Representative;164340;Yes;Yes;2;17;Contributor A;6;6;24;2;2;19;17;3;8; ;24651;1;3;4;1;8;58;1;1;1;1;1;1;3;3;2;2;3;1
EMPLID0031373;40;Temporary;56;Male;Married;BsC;Finance & Economics;Travel_Rarely;23;Head office;4;Marketeer;160824;Yes;Yes;3;12;Contributor B;5;4;33;0;3;19;3;15;9; ;22515;4;1;3;2;26;46;0;1;1;3;3;1;1;1;2;2;2;2
EMPLID0031374;40;Permanent;34;Female;Divorced;High school diploma;IT & Operations;Non-Travel;26;Local Branch;1;Financial Advisor;24348;Yes;No;4;20;Key Talent;6;1;11;2;3;11;10;0;0; ;0;1;3;2;4;80;34;0;0;1;2;5;2;4;2;1;1;3;4
EMPLID0031375;40;Permanent;40;Female;Divorced;High school diploma;IT & Operations;Travel_Rarely;2;Head office;2;IT developer;76524;Yes;No;4;20;Key Talent;7;5;15;0;3;12;12;11;8; ;6122;2;2;4;3;72;37;0;0;1;2;4;1;4;2;1;1;2;4
EMPLID0031377;40;Permanent;34;Male;Married;BsC;Business Administration;Travel_Rarely;29;Local Branch;2;Call center agent;65148;Yes;No;1;13;Rising Star;5;4;12;1;3;10;9;7;7; ;3257;2;1;3;1;14;16;0;0;1;4;2;1;5;1;2;1;3;2
EMPLID0031379;40;Permanent;31;Female;Single;BsC;Finance & Economics;Travel_Frequently;2;Head office;1;Office Support function;33420;Yes;No;2;14;Contributor A;7;7;12;3;4;10;9;0;0; ;1337;3;3;2;1;21;92;1;0;1;1;6;3;1;3;1;1;2;2
EMPLID0031380;40;Permanent;35;Female;Married;MsC;Marketing & Sales;Travel_Frequently;18;Local Branch;2;Branch Representative;55368;Yes;Yes;2;18;Contributor B;4;0;12;0;2;11;10;3;2; ;2215;4;3;3;1;2;95;1;1;1;3;1;3;3;1;1;1;3;1
EMPLID0031382;40;Permanent;38;Male;Divorced;BsC;Finance & Economics;Travel_Frequently;7;Local Branch;1;Financial Advisor;31320;Yes;No;3;11;Key Talent;1;1;4;2;3;4;3;0;3; ;313;4;4;4;3;51;34;0;0;1;2;5;3;1;2;2;1;3;2
EMPLID0031383;40;Permanent;34;Female;Single;MsC;IT & Operations;Travel_Rarely;2;Head office;2;IT developer;80244;Yes;No;2;11;Contributor A;9;1;14;2;4;14;3;4;11; ;4815;3;4;3;4;95;29;0;0;1;1;4;1;4;3;1;1;2;1
EMPLID0031387;40;Permanent;28;Male;Married;BsC;Finance & Economics;Travel_Rarely;26;Local Branch;2;Branch Representative;56688;Yes;No;2;11;Contributor B;7;1;5;0;3;5;1;0;4; ;2834;3;3;2;3;60;25;0;0;1;3;1;1;1;1;2;1;3;2
EMPLID0031389;40;Permanent;31;Male;Married;MsC;Business Administration;Travel_Rarely;22;Head office;2;Marketeer;74148;Yes;Yes;2;15;Rising Star;4;1;10;3;2;10;7;6;7; ;3707;4;4;3;3;69;55;1;1;1;4;3;1;5;1;2;1;2;1
EMPLID0031390;40;Permanent;39;Male;Married;MsC;Finance & Economics;Travel_Rarely;21;Local Branch;2;Branch Representative;73440;Yes;Yes;3;12;Rising Star;7;3;16;2;4;13;12;1;4; ;5875;1;4;2;1;11;42;0;1;1;4;1;1;1;1;2;1;3;1
EMPLID0031391;40;Permanent;51;Male;Married;BsC;Marketing & Sales;Travel_Frequently;2;Local Branch;3;Branch Representative;127152;Yes;No;1;11;Contributor A;8;2;17;5;3;7;6;3;2; ;12715;2;2;3;2;43;9;0;0;1;1;1;3;3;1;2;1;3;2
EMPLID0031392;40;Permanent;41;Female;Divorced;BsC;Finance & Economics;Travel_Frequently;22;Local Branch;2;Financial Advisor;65604;Yes;Yes;1;14;Rising Star;7;3;14;4;2;8;7;3;3; ;3280;4;1;3;3;52;30;0;1;1;4;5;3;1;2;1;1;3;2
EMPLID0031394;40;Permanent;37;Male;Married;High school diploma;Finance & Economics;Travel_Rarely;4;Local Branch;1;Financial Advisor;35952;Yes;Yes;1;15;Contributor A;5;7;12;2;3;10;9;1;3; ;1438;3;4;3;3;62;25;0;1;1;1;5;1;1;1;2;1;3;4
EMPLID0031395;40;Permanent;33;Male;Married;High school diploma;Finance & Economics;Travel_Frequently;5;Local Branch;2;Branch Representative;119976;Yes;No;3;13;Contributor A;9;6;8;2;4;5;3;1;2; ;8398;2;1;3;1;20;11;0;0;1;1;1;3;1;1;2;1;3;4
EMPLID0031396;40;Permanent;32;Male;Married;High school diploma;Marketing & Sales;Travel_Rarely;2;Local Branch;2;Branch Representative;48936;Yes;Yes;2;13;Key Talent;5;0;7;3;2;6;5;1;2; ;2447;3;1;3;4;100;34;0;1;1;2;1;1;3;1;2;1;3;4
EMPLID0031397;40;Permanent;39;Male;Married;Associate's degree;Finance & Economics;Non-Travel;25;Head office;3;IT developer;131040;Yes;No;4;21;Contributor B;3;3;25;2;3;18;17;0;5; ;14414;3;2;3;3;63;29;0;0;1;3;4;2;1;1;2;1;2;3
EMPLID0031399;40;Temporary;25;Male;Married;High school diploma;Finance & Economics;Travel_Rarely;18;Local Branch;2;Branch Representative;74784;Yes;No;1;11;Contributor A;5;2;15;3;2;12;11;1;2; ;5983;1;2;4;3;52;21;0;0;1;1;1;1;1;1;2;2;3;4
EMPLID0031401;40;Temporary;52;Female;Married;Associate's degree;Business Administration;Travel_Frequently;28;Head office;4;Marketeer;158964;Yes;Yes;2;11;Contributor B;3;2;30;3;2;11;10;0;2; ;20665;4;2;4;4;93;34;0;1;1;3;3;3;5;1;1;2;2;3
EMPLID0031402;40;Temporary;43;Female;Single;BsC;Business Administration;Travel_Rarely;6;Local Branch;2;Financial Advisor;48972;Yes;Yes;3;14;Contributor A;8;1;20;3;1;20;7;1;8; ;3428;1;1;2;2;39;39;0;1;1;1;5;1;5;3;1;2;3;2
EMPLID0031403;40;Temporary;27;Female;Married;BsC;Marketing & Sales;Travel_Rarely;10;Local Branch;2;Branch Representative;69228;Yes;Yes;3;11;Contributor A;8;1;6;3;3;6;1;4;4; ;4846;4;4;2;1;14;32;0;1;1;1;1;1;3;1;1;2;3;2
EMPLID0031405;40;Permanent;27;Female;Single;MsC;Finance & Economics;Travel_Rarely;17;Local Branch;1;Financial Advisor;28728;Yes;Yes;2;13;Contributor A;8;1;12;2;3;12;11;7;7; ;0;4;4;3;1;3;85;1;1;1;1;5;1;1;3;1;1;3;1
EMPLID0031407;40;Permanent;26;Male;Single;High school diploma;Business Administration;Travel_Rarely;2;Local Branch;1;Financial Advisor;46848;Yes;No;3;12;Contributor A;6;0;5;2;3;4;4;1;1; ;1405;1;4;2;3;70;10;0;0;1;1;5;1;5;3;2;1;3;4
EMPLID0031408;40;Permanent;42;Female;Married;BsC;Human Resources;Travel_Rarely;10;Management;4;Team Manager;201588;Yes;No;2;14;Contributor B;5;0;21;5;3;20;5;0;9; ;30238;3;3;3;4;100;41;0;0;1;3;8;1;9;1;1;1;1;2
EMPLID0031409;40;Permanent;52;Female;Married;MsC;Other;Travel_Rarely;8;Local Branch;1;Call center agent;35400;Yes;No;3;13;Contributor A;7;9;12;2;1;5;2;0;4; ;1062;3;3;3;4;92;0;0;0;1;1;2;1;2;1;1;1;3;1
EMPLID0031411;40;Permanent;37;Female;Single;BsC;Business Administration;Travel_Rarely;11;Local Branch;1;Call center agent;43548;Yes;No;1;18;Contributor A;6;4;8;6;3;3;3;0;2; ;435;1;1;3;3;59;11;0;0;1;1;2;1;5;3;1;1;3;2
EMPLID0031412;40;Permanent;35;Male;Single;Associate's degree;Finance & Economics;Travel_Frequently;18;Head office;3;Marketeer;112344;Yes;No;2;11;Contributor A;3;2;10;2;3;2;1;2;2; ;8988;3;3;3;2;28;26;0;0;1;1;3;3;1;3;2;1;2;3
EMPLID0031415;40;Permanent;25;Male;Married;BsC;IT & Operations;Travel_Rarely;1;Local Branch;1;Call center agent;38748;Yes;No;1;11;Contributor B;6;4;7;2;2;3;1;0;2; ;1550;1;2;3;2;32;28;0;0;1;3;2;1;4;1;2;1;3;2
EMPLID0031417;40;Permanent;26;Male;Single;BsC;Other;Travel_Rarely;7;Local Branch;1;Call center agent;42936;Yes;No;3;12;Contributor A;6;0;8;2;3;7;1;0;7; ;1717;3;4;4;4;95;39;0;0;1;1;2;1;2;3;2;1;3;2
EMPLID0031419;40;Permanent;29;Male;Single;BsC;Other;Travel_Rarely;17;Head office;3;Human Resources;95856;Yes;No;3;13;Contributor A;6;1;10;3;2;10;7;0;9; ;8627;2;1;2;3;67;12;0;0;1;1;9;1;2;3;2;1;2;2
EMPLID0031420;40;Permanent;49;Male;Single;Associate's degree;Finance & Economics;Travel_Frequently;28;Local Branch;2;Call center agent;51408;Yes;No;4;20;Contributor A;5;3;28;2;3;12;11;1;3; ;2056;1;1;2;1;15;61;1;0;1;1;2;3;1;3;2;1;3;3
EMPLID0031421;40;Permanent;29;Female;Single;High school diploma;Other;Travel_Frequently;14;Head office;3;IT developer;90636;Yes;Yes;3;12;Contributor A;5;0;9;1;3;8;1;7;7; ;9970;3;1;3;1;19;69;1;1;1;1;4;3;2;3;1;1;2;4
EMPLID0031422;40;Permanent;54;Female;Single;BsC;Business Administration;Travel_Rarely;1;Management;4;Branch Manager;207936;Yes;No;1;19;Contributor A;4;6;29;3;2;20;12;12;7; ;29111;4;4;3;4;99;17;0;0;1;1;7;1;5;3;1;1;1;2
EMPLID0031423;40;Permanent;58;Female;Married;BsC;Business Administration;Travel_Rarely;1;Management;5;Branch Manager;236412;Yes;Yes;4;21;Contributor B;3;3;32;3;3;9;7;1;5; ;37826;4;3;3;3;66;41;0;1;1;3;7;1;5;1;1;1;1;2
EMPLID0031424;40;Permanent;55;Male;Divorced;MsC;Business Administration;Travel_Rarely;1;Management;4;Branch Manager;176784;Yes;No;3;13;Rising Star;5;2;33;4;4;9;8;0;0; ;26518;2;4;4;4;97;3;0;0;1;4;7;1;5;2;2;1;1;1
EMPLID0031425;40;Permanent;36;Female;Single;MsC;Marketing & Sales;Travel_Rarely;3;Local Branch;2;Branch Representative;111336;Yes;Yes;2;16;Contributor A;5;3;19;3;3;9;8;0;1; ;7794;1;4;3;3;53;43;0;1;1;1;1;1;3;3;1;1;3;1
EMPLID0031427;40;Permanent;31;Female;Single;MsC;Finance & Economics;Travel_Frequently;1;Head office;1;Office Support function;16308;Yes;No;2;12;Contributor A;7;1;12;3;3;12;11;0;0; ;0;2;2;1;2;37;78;1;0;1;1;6;3;1;3;1;1;2;1
EMPLID0031428;40;Temporary;30;Female;Divorced;MsC;Marketing & Sales;Travel_Rarely;7;Local Branch;2;Branch Representative;57348;Yes;No;2;14;Rising Star;5;7;12;3;3;7;6;0;2; ;5161;4;2;3;4;89;13;0;0;1;4;1;1;3;2;1;2;3;1
EMPLID0031430;40;Temporary;31;Female;Single;PhD;Finance & Economics;Travel_Rarely;8;Management;4;Branch Manager;197064;Yes;No;2;11;Contributor A;14;3;9;3;4;3;2;1;0; ;29560;1;3;3;3;72;4;0;0;1;1;7;1;1;3;1;2;1;5
EMPLID0031431;40;Temporary;34;Male;Divorced;MsC;Other;Travel_Frequently;1;Local Branch;1;Financial Advisor;35952;Yes;No;3;14;Rising Star;5;5;12;2;3;6;5;1;3; ;1438;4;3;3;3;73;16;0;0;1;4;5;3;2;2;2;2;3;1
EMPLID0031433;40;Temporary;31;Female;Single;BsC;Finance & Economics;Travel_Rarely;8;Local Branch;1;Financial Advisor;15132;Yes;No;2;12;Contributor A;7;1;4;3;4;4;3;0;0; ;605;1;3;2;2;42;61;1;0;1;1;5;1;1;3;1;2;3;2
EMPLID0031434;40;Permanent;27;Male;Married;High school diploma;Finance & Economics;Travel_Rarely;11;Local Branch;1;Call center agent;25188;Yes;No;2;14;Contributor A;4;0;6;3;4;5;3;1;4; ;504;2;2;3;2;25;27;0;0;1;1;2;1;1;1;2;1;3;4
EMPLID0031435;40;Permanent;36;Male;Single;MsC;Finance & Economics;Travel_Rarely;4;Local Branch;2;Call center agent;69720;Yes;No;3;16;Contributor A;6;1;10;2;2;10;1;1;8; ;5578;1;3;2;3;63;35;0;0;1;1;2;1;1;3;2;1;3;1
EMPLID0031436;40;Permanent;36;Female;Married;MsC;Marketing & Sales;Travel_Rarely;16;Local Branch;2;Branch Representative;67764;Yes;No;3;13;Rising Star;7;4;11;3;2;3;3;0;2; ;5421;3;1;2;3;63;31;0;0;1;4;1;1;3;1;1;1;3;1
EMPLID0031438;40;Permanent;47;Male;Married;BsC;IT & Operations;Travel_Rarely;1;Local Branch;1;Financial Advisor;41040;Yes;No;1;12;Contributor B;5;7;17;2;2;6;1;1;2; ;1231;1;3;3;4;97;19;0;0;1;3;5;1;4;1;2;1;3;2
EMPLID0031439;40;Permanent;25;Male;Married;Associate's degree;Finance & Economics;Travel_Rarely;9;Head office;1;Office Support function;52800;Yes;No;2;12;Contributor A;6;3;21;2;3;18;17;2;2; ;528;1;1;2;1;16;96;1;0;1;1;6;1;1;1;2;1;2;3
EMPLID0031440;40;Permanent;37;Male;Single;Associate's degree;IT & Operations;Non-Travel;5;Local Branch;1;Call center agent;42000;Yes;No;2;14;Contributor A;6;0;12;2;1;11;10;1;3; ;1260;3;1;4;4;81;34;0;0;1;1;2;2;4;3;2;1;3;3
EMPLID0031441;40;Permanent;56;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;1;Local Branch;1;Financial Advisor;24792;Yes;No;4;22;Contributor B;4;2;5;3;4;3;1;1;0; ;744;1;4;3;3;68;21;0;0;1;3;5;1;1;1;1;1;3;3
EMPLID0031443;40;Permanent;47;Female;Married;MsC;Business Administration;Travel_Rarely;2;Management;4;Branch Manager;206028;Yes;No;2;19;Rising Star;6;3;26;2;4;20;6;5;6; ;28844;1;2;3;4;75;16;0;0;1;4;7;1;5;1;1;1;1;1
EMPLID0031445;40;Permanent;24;Female;Married;High school diploma;Business Administration;Travel_Rarely;4;Local Branch;2;Branch Representative;49944;Yes;Yes;1;12;Rising Star;8;1;14;3;3;14;13;0;3; ;3496;4;3;3;3;72;48;0;1;1;4;1;1;5;1;1;1;3;4
EMPLID0031446;40;Permanent;32;Male;Married;PhD;Marketing & Sales;Travel_Rarely;7;Local Branch;2;Branch Representative;110448;Yes;No;3;12;Contributor B;10;4;16;3;2;13;12;0;3; ;7731;4;3;3;3;73;49;0;0;1;3;1;1;3;1;2;1;3;5
EMPLID0031447;40;Permanent;34;Female;Married;BsC;Finance & Economics;Travel_Rarely;1;Local Branch;1;Call center agent;39528;Yes;No;3;17;Contributor B;6;5;7;2;2;5;2;0;2; ;0;4;1;2;4;80;46;0;0;1;3;2;1;1;1;1;1;3;2
EMPLID0031448;40;Permanent;41;Male;Married;PhD;Business Administration;Travel_Rarely;5;Local Branch;1;Financial Advisor;25524;Yes;Yes;2;12;Contributor A;7;2;14;5;2;11;10;0;3; ;510;2;1;4;2;29;15;0;1;1;1;5;1;5;1;2;1;3;5
EMPLID0031449;40;Temporary;40;Male;Divorced;MsC;Other;Non-Travel;9;Local Branch;2;Call center agent;47700;Yes;No;1;11;Rising Star;5;3;13;2;4;10;9;0;7; ;3339;3;3;3;3;56;31;0;0;1;4;2;2;2;2;2;2;3;1
EMPLID003145;40;Permanent;35;Female;Single;BsC;Marketing & Sales;Travel_Frequently;1;Local Branch;3;Branch Representative;105468;Yes;No;2;14;Contributor A;4;1;10;3;4;10;4;0;8; ;10547;3;1;3;4;89;1;0;0;1;1;1;3;3;3;1;1;3;2
EMPLID0031453;40;Temporary;31;Male;Divorced;Associate's degree;Finance & Economics;Travel_Rarely;8;Local Branch;3;Branch Representative;129516;Yes;No;2;18;Contributor B;5;1;13;5;3;13;3;9;9; ;15542;1;1;3;4;93;39;0;0;1;3;1;1;1;2;2;2;3;3
EMPLID0031457;40;Temporary;46;Male;Divorced;BsC;Marketing & Sales;Travel_Rarely;9;Local Branch;3;Branch Representative;121152;Yes;No;3;11;Contributor B;6;4;32;1;4;11;10;4;3; ;10904;1;1;3;2;33;63;1;0;1;3;1;1;3;2;2;2;3;2
EMPLID0031458;40;Temporary;39;Female;Single;BsC;Finance & Economics;Non-Travel;2;Local Branch;1;Call center agent;43752;Yes;Yes;4;23;Contributor A;7;2;28;2;4;18;17;0;0; ;438;1;2;2;1;6;98;1;1;1;1;2;2;1;3;1;2;3;2
EMPLID0031459;40;Permanent;31;Female;Single;PhD;Finance & Economics;Travel_Frequently;1;Head office;3;Marketeer;89352;Yes;No;3;11;Contributor A;7;1;10;2;3;10;3;4;7; ;8042;3;1;4;2;43;94;1;0;1;1;3;3;1;3;1;1;2;5
EMPLID0031460;40;Permanent;45;Male;Divorced;BsC;IT & Operations;Travel_Rarely;20;Head office;3;IT developer;130212;Yes;Yes;3;18;Contributor B;9;2;24;2;3;7;1;0;7; ;14323;2;2;1;3;52;30;0;1;1;3;4;1;4;2;2;1;2;2
EMPLID0031461;40;Permanent;31;Female;Single;Associate's degree;Business Administration;Travel_Rarely;8;Head office;1;Human Resources;25308;Yes;No;1;18;Contributor A;6;9;18;3;3;13;12;0;2; ;0;4;4;4;4;89;24;0;0;1;1;9;1;5;3;1;1;2;3
EMPLID0031464;40;Permanent;31;Male;Married;BsC;Finance & Economics;Travel_Frequently;2;Local Branch;1;Call center agent;44664;Yes;Yes;3;13;Contributor B;5;6;23;2;1;18;17;2;2; ;1787;2;3;3;2;35;99;1;1;1;3;2;3;1;1;2;1;3;2
EMPLID0031465;40;Permanent;45;Male;Married;BsC;IT & Operations;Travel_Rarely;29;Head office;3;Marketeer;112560;Yes;Yes;2;18;Rising Star;7;4;18;4;4;11;10;1;2; ;9005;2;4;3;2;35;4;0;1;1;4;3;1;4;1;2;1;2;2
EMPLID0031466;40;Permanent;48;Male;Divorced;BsC;Marketing & Sales;Travel_Rarely;7;Local Branch;2;Branch Representative;65832;Yes;No;3;11;Key Talent;6;4;30;3;3;17;16;2;2; ;2633;3;1;3;4;75;46;0;0;1;2;1;1;3;2;2;1;3;2
EMPLID0031467;40;Permanent;34;Female;Married;MsC;IT & Operations;Travel_Rarely;9;Head office;1;Human Resources;32904;Yes;No;1;15;Contributor A;6;1;18;0;3;18;17;2;2; ;329;1;4;3;2;40;89;1;0;1;1;9;1;4;1;1;1;2;1
EMPLID0031468;40;Permanent;40;Male;Divorced;High school diploma;Business Administration;Non-Travel;8;Management;3;Branch Manager;165084;Yes;No;2;11;Contributor B;6;2;16;5;3;9;4;4;8; ;16508;4;3;2;3;70;20;0;0;1;3;7;2;5;2;2;1;1;4
EMPLID0031469;40;Permanent;28;Male;Single;BsC;Business Administration;Travel_Rarely;5;Local Branch;2;Branch Representative;101556;Yes;No;1;18;Contributor A;6;0;6;4;3;5;3;1;3; ;9140;4;4;3;4;86;18;0;0;1;1;1;1;5;3;2;1;3;2
EMPLID0031471;40;Permanent;44;Male;Single;BsC;Finance & Economics;Non-Travel;5;Local Branch;1;Call center agent;37944;Yes;No;3;14;Contributor A;4;3;15;5;3;13;12;0;3; ;0;3;4;2;3;51;14;0;0;1;1;2;2;1;3;2;1;3;2
EMPLID0031472;40;Permanent;53;Male;Single;BsC;Business Administration;Travel_Rarely;2;Management;4;Branch Manager;199176;Yes;No;2;12;Contributor A;9;4;35;2;2;9;5;8;8; ;25893;4;2;4;3;71;27;0;0;1;1;7;1;5;3;2;1;1;2
EMPLID0031473;40;Permanent;49;Male;Married;MsC;IT & Operations;Travel_Rarely;5;Head office;2;IT developer;79812;Yes;No;3;14;Contributor B;5;2;25;0;2;8;7;1;2; ;3192;1;2;3;3;73;48;0;0;1;3;4;1;4;1;2;1;2;1
EMPLID0031474;40;Permanent;40;Male;Divorced;BsC;Business Administration;Travel_Rarely;2;Local Branch;1;Financial Advisor;28140;Yes;No;3;14;Contributor B;5;2;12;3;4;7;6;1;2; ;563;3;3;3;3;66;13;0;0;1;3;5;1;5;2;2;1;3;2
EMPLID0031475;40;Permanent;44;Male;Single;BsC;Finance & Economics;Travel_Rarely;20;Local Branch;1;Financial Advisor;41040;Yes;No;3;13;Contributor A;7;1;13;3;2;12;11;1;3; ;1231;4;3;3;4;96;12;0;0;1;1;5;1;1;3;2;1;3;2
EMPLID0031477;40;Temporary;33;Male;Married;BsC;Business Administration;Travel_Frequently;7;Local Branch;2;Branch Representative;52476;Yes;No;3;14;Rising Star;8;0;8;2;3;7;6;0;3; ;4198;4;1;3;2;50;34;0;0;1;4;1;3;5;1;2;2;3;2
EMPLID0031478;40;Temporary;34;Male;Single;BsC;Other;Travel_Rarely;3;Local Branch;2;Branch Representative;57108;Yes;No;3;18;Contributor A;10;3;15;2;3;13;3;3;12; ;2284;4;4;1;4;89;6;0;0;1;1;1;1;2;3;2;2;3;2
EMPLID0031479;40;Temporary;30;Male;Married;High school diploma;Finance & Economics;Travel_Rarely;16;Local Branch;2;Branch Representative;63612;Yes;No;2;15;Rising Star;10;8;8;2;2;6;5;2;2; ;3817;4;3;3;4;88;43;0;0;1;4;1;1;1;1;2;2;3;4
